symbol,name,industry,ISIN_code
3MINDIA,3M India Ltd.,SERVICES,INE470A01017
8KMILES,8K Miles Soft Services Ltd.,IT,INE650K01021
AARTIIND,Aarti Industries Ltd.,CHEMICALS,INE769A01020
ABAN,Aban Offshore Ltd.,ENERGY,INE421A01028
ABB,ABB India Ltd.,INDUSTRIAL MANUFACTURING,INE117A01022
ABCAPITAL,Aditya Birla Capital Ltd.,FINANCIAL SERVICES,INE674K01013
ABFRL,Aditya Birla Fashion and Retail Ltd.,CONSUMER GOODS,INE647O01011
ACC,ACC Ltd.,CEMENT & CEMENT PRODUCTS,INE012A01025
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SERVICES,INE742F01042
ADANIPOWER,Adani Power Ltd.,ENERGY,INE814H01011
ADANITRANS,Adani Transmission Ltd.,ENERGY,INE931S01010
ADVENZYMES,Advanced Enzyme Tech Ltd.,CONSUMER GOODS,INE837H01020
AEGISCHEM,Aegis Logistics Ltd.,ENERGY,INE208C01025
AIAENG,AIA Engineering Ltd.,INDUSTRIAL MANUFACTURING,INE212H01026
AJANTPHARM,Ajanta Pharmaceuticals Ltd.,PHARMA,INE031B01049
AKZOINDIA,Akzo Nobel India Ltd.,CONSUMER GOODS,INE133A01011
ALBK,Allahabad Bank,FINANCIAL SERVICES,INE428A01015
ALKEM,Alkem Laboratories Ltd.,PHARMA,INE540L01014
ALLCARGO,Allcargo Logistics Ltd.,SERVICES,INE418H01029
AMARAJABAT,Amara Raja Batteries Ltd.,AUTOMOBILE,INE885A01032
AMBUJACEM,Ambuja Cements Ltd.,CEMENT & CEMENT PRODUCTS,INE079A01024
ANDHRABANK,Andhra Bank,FINANCIAL SERVICES,INE434A01013
APLAPOLLO,APL Apollo Tubes Ltd.,METALS,INE702C01019
APLLTD,Alembic Pharmaceuticals Ltd.,PHARMA,INE901L01018
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,HEALTHCARE SERVICES,INE437A01024
APOLLOTYRE,Apollo Tyres Ltd.,AUTOMOBILE,INE438A01022
ASAHIINDIA,Asahi India Glass Ltd.,AUTOMOBILE,INE439A01020
ASHOKA,Ashoka Buildcon Ltd.,CONSTRUCTION,INE442H01029
ASHOKLEY,Ashok Leyland Ltd.,AUTOMOBILE,INE208A01029
ASIANPAINT,Asian Paints Ltd.,CONSUMER GOODS,INE021A01026
ASTERDM,Aster DM Healthcare Ltd.,HEALTHCARE SERVICES,INE914M01019
ASTRAL,Astral Poly Technik Ltd.,INDUSTRIAL MANUFACTURING,INE006I01046
ATUL,Atul Ltd.,CHEMICALS,INE100A01010
AUBANK,AU Small Finance Bank Ltd.,FINANCIAL SERVICES,INE949L01017
AUROPHARMA,Aurobindo Pharma Ltd.,PHARMA,INE406A01037
AVANTIFEED,Avanti Feeds Ltd.,CONSUMER GOODS,INE871C01038
AXISBANK,Axis Bank Ltd.,FINANCIAL SERVICES,INE238A01034
BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILE,INE917I01010
BAJAJCORP,Bajaj Corp Ltd.,CONSUMER GOODS,INE933K01021
BAJAJELEC,Bajaj Electricals Ltd,CONSUMER GOODS,INE193E01025
BAJAJFINSV,Bajaj Finserv Ltd.,FINANCIAL SERVICES,INE918I01018
BAJAJHIND,Bajaj Hindusthan Sugar Ltd.,CONSUMER GOODS,INE306A01021
BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,FINANCIAL SERVICES,INE118A01012
BAJFINANCE,Bajaj Finance Ltd.,FINANCIAL SERVICES,INE296A01024
BALKRISIND,Balkrishna Industries Ltd.,AUTOMOBILE,INE787D01026
BALLARPUR,Ballarpur Industries Ltd.,PAPER,INE294A01037
BALMLAWRIE,Balmer Lawrie & Co. Ltd.,SERVICES,INE164A01016
BALRAMCHIN,Balrampur Chini Mills Ltd.,CONSUMER GOODS,INE119A01028
BANKBARODA,Bank of Baroda,FINANCIAL SERVICES,INE028A01039
BANKINDIA,Bank of India,FINANCIAL SERVICES,INE084A01016
BASF,BASF India Ltd.,CHEMICALS,INE373A01013
BATAINDIA,Bata India Ltd.,CONSUMER GOODS,INE176A01028
BBTC,Bombay Burmah Trading Corporation Ltd.,CONSUMER GOODS,INE050A01025
BEL,Bharat Electronics Ltd.,INDUSTRIAL MANUFACTURING,INE263A01024
BEML,BEML Ltd.,INDUSTRIAL MANUFACTURING,INE258A01016
BERGEPAINT,Berger Paints India Ltd.,CONSUMER GOODS,INE463A01038
BFUTILITIE,BF Utilities Ltd.,CONSTRUCTION,INE243D01012
BGRENERGY,BGR Energy Systems Ltd,CONSTRUCTION,INE661I01014
BHARATFIN,Bharat Financial Inclusion Ltd.,FINANCIAL SERVICES,INE180K01011
BHARATFORG,Bharat Forge Ltd.,INDUSTRIAL MANUFACTURING,INE465A01025
BHARTIARTL,Bharti Airtel Ltd.,TELECOM,INE397D01024
BHEL,Bharat Heavy Electricals Ltd.,INDUSTRIAL MANUFACTURING,INE257A01026
BHUSANSTL,Bhushan Steel Ltd.,METALS,INE824B01021
BIOCON,Biocon Ltd.,PHARMA,INE376G01013
BIRLACORPN,Birla Corporation Ltd.,CEMENT & CEMENT PRODUCTS,INE340A01012
BLISSGVS,Bliss GVS Pharma Ltd.,PHARMA,INE416D01022
BLUEDART,Blue Dart Express Ltd.,SERVICES,INE233B01017
BLUESTARCO,Blue Star Ltd.,CONSUMER GOODS,INE472A01039
BOMDYEING,Bombay Dyeing & Manufacturing Co. Ltd.,TEXTILES,INE032A01023
BOSCHLTD,Bosch Ltd.,AUTOMOBILE,INE323A01026
BPCL,Bharat Petroleum Corporation Ltd.,ENERGY,INE029A01011
BRFL,Bombay Rayon Fashions Ltd.,TEXTILES,INE589G01011
BRIGADE,Brigade Enterprises Ltd.,CONSTRUCTION,INE791I01019
BRITANNIA,Britannia Industries Ltd.,CONSUMER GOODS,INE216A01022
BSE,BSE Ltd.,FINANCIAL SERVICES,INE118H01025
CADILAHC,Cadila Healthcare Ltd.,PHARMA,INE010B01027
CANBK,Canara Bank,FINANCIAL SERVICES,INE476A01014
CANFINHOME,Can Fin Homes Ltd.,FINANCIAL SERVICES,INE477A01020
CAPF,Capital First Ltd.,FINANCIAL SERVICES,INE688I01017
CAPLIPOINT,Caplin Point Laboratories Ltd.,PHARMA,INE475E01026
CARBORUNIV,Carborundum Universal Ltd.,INDUSTRIAL MANUFACTURING,INE120A01034
CARERATING,CARE Ratings Ltd.,FINANCIAL SERVICES,INE752H01013
CASTROLIND,Castrol India Ltd.,ENERGY,INE172A01027
CCL,CCL Products (I) Ltd.,CONSUMER GOODS,INE421D01022
CDSL,Central Depository Services (India) Ltd.,FINANCIAL SERVICES,INE736A01011
CEATLTD,Ceat Ltd.,AUTOMOBILE,INE482A01020
CENTRALBK,Central Bank of India,FINANCIAL SERVICES,INE483A01010
CENTURYPLY,Century Plyboards (India) Ltd.,CONSUMER GOODS,INE348B01021
CENTURYTEX,Century Textile & Industries Ltd.,CEMENT & CEMENT PRODUCTS,INE055A01016
CERA,Cera Sanitaryware Ltd,CONSTRUCTION,INE739E01017
CGPOWER,CG Power and Industrial Solutions Ltd.,INDUSTRIAL MANUFACTURING,INE067A01029
CHAMBLFERT,Chambal Fertilizers & Chemicals Ltd.,FERTILISERS & PESTICIDES,INE085A01013
CHENNPETRO,Chennai Petroleum Corporation Ltd.,ENERGY,INE178A01016
CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,FINANCIAL SERVICES,INE121A01016
CIPLA,Cipla Ltd.,PHARMA,INE059A01026
COALINDIA,Coal India Ltd.,METALS,INE522F01014
COCHINSHIP,Cochin Shipyard Ltd.,INDUSTRIAL MANUFACTURING,INE704P01017
COFFEEDAY,Coffee Day Enterprises Ltd.,CONSUMER GOODS,INE335K01011
COLPAL,Colgate Palmolive (India) Ltd.,CONSUMER GOODS,INE259A01022
CONCOR,Container Corporation of India Ltd.,SERVICES,INE111A01025
COROMANDEL,Coromandel International Ltd.,FERTILISERS & PESTICIDES,INE169A01031
CRISIL,CRISIL Ltd.,FINANCIAL SERVICES,INE007A01025
CROMPTON,Crompton Greaves Consumer Electricals Ltd.,CONSUMER GOODS,INE299U01018
CUB,City Union Bank Ltd.,FINANCIAL SERVICES,INE491A01021
CUMMINSIND,Cummins India Ltd.,INDUSTRIAL MANUFACTURING,INE298A01020
CYIENT,Cyient Ltd.,IT,INE136B01020
DABUR,Dabur India Ltd.,CONSUMER GOODS,INE016A01026
DBCORP,D.B.Corp Ltd.,MEDIA & ENTERTAINMENT,INE950I01011
DBL,Dilip Buildcon Ltd.,CONSTRUCTION,INE917M01012
DBREALTY,D B Realty Ltd.,CONSTRUCTION,INE879I01012
DCAL,Dishman Carbogen Amcis Ltd.,PHARMA,INE385W01011
DCBBANK,DCB Bank Ltd.,FINANCIAL SERVICES,INE503A01015
DCMSHRIRAM,DCM Shriram Ltd.,CONSUMER GOODS,INE499A01024
DEEPAKFERT,Deepak Fertilisers & Petrochemicals Corp. Ltd.,CHEMICALS,INE501A01019
DELTACORP,Delta Corp Ltd.,SERVICES,INE124G01033
DEN,Den Networks Ltd.,MEDIA & ENTERTAINMENT,INE947J01015
DENABANK,Dena Bank,FINANCIAL SERVICES,INE077A01010
DHFL,Dewan Housing Finance Corporation Ltd.,FINANCIAL SERVICES,INE202B01012
DISHTV,Dish TV India Ltd.,MEDIA & ENTERTAINMENT,INE836F01026
DIVISLAB,Divi's Laboratories Ltd.,PHARMA,INE361B01024
DIXON,Dixon Technologies (India) Ltd.,CONSUMER GOODS,INE935N01012
DLF,DLF Ltd.,CONSTRUCTION,INE271C01023
DMART,Avenue Supermarts Ltd.,CONSUMER GOODS,INE192R01011
DREDGECORP,Dredging Corporation of India Ltd.,SERVICES,INE506A01018
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMA,INE089A01023
ECLERX,eClerx Services Ltd.,IT,INE738I01010
EDELWEISS,Edelweiss Financial Services Ltd.,FINANCIAL SERVICES,INE532F01054
EICHERMOT,Eicher Motors Ltd.,AUTOMOBILE,INE066A01013
EIDPARRY,E.I.D. Parry (India) Ltd.,FERTILISERS & PESTICIDES,INE126A01031
EIHOTEL,EIH Ltd.,SERVICES,INE230A01023
EMAMILTD,Emami Ltd.,CONSUMER GOODS,INE548C01032
ENDURANCE,Endurance Technologies Ltd.,AUTOMOBILE,INE913H01037
ENGINERSIN,Engineers India Ltd.,CONSTRUCTION,INE510A01028
EQUITAS,Equitas Holdings Ltd.,FINANCIAL SERVICES,INE988K01017
